NumberOfTrips,PRCP,SNWD,SNOW,Temp,Holiday,Weekday
3,0.06,0,0,38.5,0,1
1,0.05,0,0,41.5,0,1
3,0,5.9,0,18.5,0,0
3,0,0,0,71,0,0
3,0,0,0,73,0,1
4,0,0,0,74,0,1
4,0,0,0,60.5,0,1
1,0,0,0,69.5,0,1
2,0.36,7.9,4.3,25,0,1
3,0,0,0,78.5,0,1
1,0,5.9,0,28.5,0,0
3,0,0,0,70.5,0,0
4,0.13,0,0,62.5,0,1
3,0.19,0,0,57.5,0,1
4,0,0,0,79.5,0,1
1,0.27,0,0,42.5,0,1
1,0,0,0,37.5,0,0
1,1.17,1.2,8,35,0,1
1,0,0,0,46.5,0,1
1,0,7.9,0,19.5,0,1
3,0,0,0,60,0,1
4,0.02,0,0,73.5,0,0
1,0,0,0,55.5,0,1
1,0,0,0,64,0,1
3,0,0,0,74,0,1
1,1.37,0,0,51.5,0,1
2,0.11,0,0,77.5,0,1
2,0,2,0,37,0,1
3,0,0,0,79,0,1
4,0.92,0,0,39,0,1
3,0,0,0,56,0,1
1,0.03,15,0,44,0,1
2,0.14,0,0,51.5,0,1
2,0.07,0,0,77.5,0,1
3,0.02,0,0,48,0,1
2,0,0,0,76.5,0,1
4,0,7.9,0,33.5,0,1
4,0,0,0,75.5,0,0
1,0,0,0,39,0,1
3,0.06,0,0,72,0,1
3,0,0,0,48.5,0,0
1,0,5.1,0,21,0,1
3,0.06,0,0,43.5,0,1
4,0,0,0,67,0,1
2,0,0,0,75,0,0
4,0,0,0,82,0,1
4,0,0,0,78,0,1
2,0,0,0,44.5,0,0
3,0.03,0,0,71,0,0
2,0,0,0,84.5,0,0
3,0,0,0,48,0,1
2,0,0,0,75,0,1
1,0.19,0,0,74.5,0,1
1,0.04,2,0.8,18.5,0,1
1,0.8,0,0,51,1,1
4,0,0,0,80,0,1
2,0.36,1.2,0,37,0,1
3,0.27,0,0,72,0,1
3,0,0,0,66.5,0,0
1,0,0,0,42.5,0,1
3,0,0,0,84.5,0,1
1,0,0,0,47,0,1
1,0.64,0,0,79.5,0,0
3,0.05,0,0,46,0,0
3,0,0,0,61.5,0,1
1,0,0,0,44,0,0
3,0,0,0,77.5,0,1
2,0,0,0,80.5,0,1
2,0,0,0,83,0,1
2,0,0,0,52.5,0,1
2,0,0,0,57,0,1
3,0.19,0,0,80,0,1
1,0.61,0,0,51.5,0,1
1,0,0,0,57.5,0,1
2,0,0,0,55,0,0
3,0,0,0,72.5,0,1
3,0,0,0,11.5,0,1
3,0,0,0,80,0,0
1,0,0,0,67,0,0
3,0,0,0,70,0,1
2,0,0,0,68.5,0,1
2,0.35,0,0,44.5,0,0
2,0,0,0,54.5,0,0
3,0,0,0,57.5,0,0
2,0,0,0,80.5,0,1
2,0.02,5.9,0,27.5,0,1
3,0,0,0,80,0,1
2,0,0,0,66.5,0,1
2,0,0,0,59,0,1
2,0,0,0,57.5,1,1
4,0,0,0,78.5,0,1
3,0,0,0,61.5,0,1
4,0,0,0,50,0,0
2,0,0,0,78.5,0,1
3,0,0,0,72,0,0
3,0,0,0,31.5,0,1
2,0,0,0,61.5,0,1
2,0,0,0,82.5,0,1
3,0,0,0,36,0,0
4,0,0,0,76,0,0
1,0,0,0,65.5,0,0
3,0,0,0,76,0,1
3,0,0,0,53,0,0
2,0.32,0,0,78,0,0
3,0,0,0,77,0,0
1,0,0,0,70,0,1
4,0,0,0,54.5,0,0
1,0.39,0,0,81,0,1
3,0,0,0,61,0,0
2,0,0,0,66,0,0
2,0,0,0,76,0,1
3,0,0,0,77.5,0,1
3,0,0,0,31,0,0
4,0,0,0,63,0,1
1,0,0,0,69.5,0,1
1,1.21,0,0,54.5,0,1
4,0.41,0,0,56,0,1
3,0,0,0,70,0,0
2,0,9.8,0,21,0,1
1,0,0,0,62.5,0,1
2,0,0,0,77,0,1
3,0,0,0,60,0,1
1,0,5.9,0,15,0,1
3,0,7.9,0,19.5,0,1
2,0,0,0,75,0,1
2,0,0,0,65,0,1
3,0,0,0,76,0,0
2,0,0,0,74,0,1
4,0,7.9,0,25,0,1
1,0,0,0,64,0,1
1,0.92,0,0,56.5,0,0
3,0.7,0,0,61,0,1
3,0,7.9,0,28,0,1
2,0,0,0,78.5,0,1
3,0.45,0,0,40,0,1
4,0,0,0,72,0,1
3,0,0,0,59.5,0,1
2,0,0,0,61,0,1
1,0.29,0,0,67.5,0,0
3,0,0,0,55.5,0,1
1,0,3.9,0,31.5,0,1
3,0,0,0,27,0,1
1,0,0,0,65.5,0,1
2,0,0,0,71.5,0,1
1,0,0,0,61.5,0,1
4,0,0,0,26.5,0,1
4,0,1.2,0,27.5,0,0
1,0,0,0,77.5,0,1
2,0,0,0,72.5,0,1
3,0,0,0,69.5,0,1
1,0.09,0,0,53,1,1
3,0,1.2,0,40.5,0,0
4,0,0,0,34,0,1
3,0,0,0,49.5,0,1
2,0,0,0,59,0,1
2,0,0,0,75.5,0,1
3,0,0,0,55.5,0,1
1,0,0,0,59.5,0,0
2,0,0,0,42,0,1
3,0,0,0,76,0,1
4,0.03,5.9,0.3,28,0,0
2,0,0,0,38.5,0,1
3,0,0,0,77,0,1
2,0,0,0,34.5,0,1
3,0,3.9,0,25.5,0,0
2,0.91,0,0,63.5,0,1
2,0,0,0,52,0,1
4,0.04,0,0,81,0,1
3,0.32,0,0,52,0,1
1,0,0,0,69.5,0,0
3,0,0,0,45.5,0,1
3,0,0,0,53,0,1
3,0,0,0,54.5,0,1
3,0,0,0,33,1,1
3,0.12,0,0,76.5,0,1
3,0,0,0,67.5,0,1
2,0.01,0,0,58.5,0,0
3,2.1,0,0,36.5,0,0
4,0,0,0,86.5,0,1
3,1.46,0,0,72,0,0
2,0,0,0,72.5,0,0
1,0,0,0,65.5,0,1
2,0,5.9,0,28.5,0,1
3,0,0,0,82.5,0,0
3,0.37,0,0,64,0,1
3,0,0,0,36,0,1
2,0,0,0,59.5,0,1
4,0.16,0,0,46,0,1
2,0,0,0,83,0,1
2,0.57,0,0,73.5,0,1
3,0.4,0,0,63.5,0,0
2,0.11,0,0,33.5,0,1
2,0,18.1,0,28,0,0
2,0.21,0,0,43.5,0,1
1,0,0,0,58,0,1
1,0.46,0,11,21,0,1
3,0,3.9,0,23.5,0,1
1,0,0,0,85,0,1
1,0,0,0,41.5,0,1
2,0.52,9.8,4.8,27.5,0,0
4,0,0,0,66,0,0
3,0,0,0,78,0,1
3,0,0,0,75,0,1
2,0,0,0,58.5,0,1
2,0,0,0,55.5,0,1
1,0.03,0,0,77.5,0,0
2,0,0,0,86.5,0,1
2,0.04,0,0,75,0,1
1,0.2,0,0,42,0,1
1,0,0,0,24.5,0,0
3,0.06,7.1,1,28.5,0,1
2,0.03,5.9,0.2,25.5,0,1
3,0,1,0,23,0,1
3,0,0,0,61.5,0,0
1,0.36,0,0,37,0,1
2,0.02,11,0.5,11,0,1
3,0.05,0,0,40,0,1
3,0,0,0,71,0,1
2,0,0,0,50.5,1,1
2,1.81,0,0,51,0,0
3,0.36,0,0,77,0,0
3,0.02,7.9,0.9,24,0,0
3,0,0,0,64.5,0,1
1,0,0,0,66,0,1
3,0,0,0,76,0,1
2,0,0,0,80.5,0,0
4,0.02,0,0,78,0,0
3,0,0,0,83.5,0,1
2,0,0,0,50,0,0
1,0,0,0,75.5,0,0
2,0.19,0,0,43,0,1
1,0,0,0,70,0,1
4,0.1,0,0,48.5,0,0
4,0,0,0,77,0,1
2,0.01,0,0,56,0,1
2,0.4,0,4.5,33.5,0,1
2,0.08,0,1,36,0,1
2,0,0,0,82,0,0
4,0,0,0,46,0,0
2,0.53,0,0,75,0,1
2,0,0,0,76,0,0
1,0,0,0,55.5,0,0
1,0,0,0,75.5,0,0
3,0.01,0,0,61.5,0,1
4,0,0,0,71.5,0,0
4,0.13,18.1,1.6,32,0,0
4,0.03,0,0,40,0,1
4,0,0,0,40,0,0
4,0,0,0,74.5,0,1
4,1.22,0,0,44.5,0,0
4,0,0,0,33,0,1
4,0,5.1,0,38,0,0
4,0,3.1,0,46,0,0
4,0,0,0,38.5,1,1
4,0,9.1,0,28,0,1
4,0,0,0,77.5,0,1
4,0.1,13,1,37.5,0,0
4,0,1.2,0,19.5,0,0
4,0,0,0,74,0,1
4,0,0,0,67.5,0,1
4,0.09,0,0,79.5,0,1
4,0,0,0,72,0,0
4,0.69,0,0,73,0,1
4,1.55,0,0,58,0,1
4,0,0,0,46.5,0,1
4,0.35,0,0,44,0,1
4,0.81,1.2,0,45.5,0,0
4,0,0,0,62.5,0,0
4,1.95,0,0,81.5,0,1
4,1.3,0,0,79,0,1
4,0,0,0,39,0,1
4,0,0,0,59.5,0,1
4,0,0,0,47.5,0,0
4,0.26,0,0,54,0,1
4,0.01,5.9,0,51.5,0,1
4,0.05,0,0,58.5,0,1
4,0.43,0,0,53.5,0,1
4,0,0,0,66.5,0,1
4,0,0,0,58,0,0
4,0,0,0,63,0,1
4,0,0,0,50,0,1
4,0.35,0,0,52,0,0
4,0,0,0,75,0,1
4,0,0,0,63,0,1
4,0.04,0,0,49.5,0,1
5,0.05,0,0,58,0,0
5,0.01,0,0,75.5,0,1
5,0,0,0,66,0,1
5,0.61,9.1,3,22.5,0,0
5,0,5.9,0,35.5,0,1
5,0,0,0,76.5,0,1
5,0,0,0,63,0,0
5,0,15,0,33,0,1
5,0,0,0,33,0,0
5,0,0,0,76,0,1
5,0.15,0,0,72.5,0,1
5,0,0,0,73,0,1
5,0,0,0,35.5,0,0
5,0,0,0,65.5,0,1
5,0.04,0,0,49.5,0,1
5,0,0,0,52.5,0,1
5,0,0,0,66.5,0,1
5,0.07,0,0,71,0,0
5,0,9.8,0,25,0,1
5,0,0,0,49,0,0
5,0,0,0,43,0,1
5,0,0,0,65.5,0,0
5,0,5.9,0,16.5,0,1
5,0.72,3.1,3.6,36,0,0
5,0,0,0,81.5,0,1
5,0.3,0,0,48.5,0,0
5,0.12,0,0,76,0,1
5,0,0,0,42,0,0
5,0,0,0,15.5,0,1
5,0,0,0,30.5,0,1
5,0,0,0,39,0,0
5,0.04,0,0,36,0,0
5,0,0,0,63.5,0,1
5,0,0,0,77.5,0,1
5,0,7.9,0,28.5,0,1
5,0,11,0,26.5,0,1
5,0,0,0,32.5,0,1
5,0,0,0,81.5,0,1
5,0,0,0,61.5,0,1
5,0.02,7.9,0,32.5,0,0
5,0,0,0,28.5,1,1
5,0.76,13,7.5,29.5,0,1
5,0.01,0,0,67.5,1,1
5,0.25,13,0,40,0,1
5,0.32,0,0,79,0,1
5,0.96,0,0,81.5,0,1
5,0,0,0,68,0,1
5,0.38,0,0,48,0,1
5,0,0,0,36,0,0
5,0,0,0,34.5,0,0
5,0,0,0,31.5,0,0
5,0,0,0,75,0,1
5,1.02,7.1,5,24,0,1
5,0,0,0,47.5,0,1
5,0,0,0,35.5,0,1
5,0,0,0,51,0,1
5,1.18,0,0,60.5,0,0
5,0,0,0,38,0,1
5,0,0,0,34.5,0,1
5,4.97,0,0,46.5,0,1
5,0.29,0,0,74,0,0
5,0.02,0,0,65.5,0,1
5,0.42,0,0,77.5,0,1
5,0.29,0,0,81.5,0,1
5,0.01,0,0,61.5,1,1
5,0,0,0,57.5,0,1
6,0.05,0,0,65,0,0
6,0.01,0,0,81.5,0,1
6,0.14,3.9,0,33.5,0,0
6,0.04,0,0,61.5,0,1
6,0.62,0,0,81.5,0,0
6,0,0,0,76.5,0,1
6,0,3.9,0,41.5,0,1
6,0,0,0,63.5,0,0
6,0,0,0,43.5,0,0
6,0,0,0,68,0,1
6,0.14,11.8,3.3,20.5,0,1
6,0.3,18.1,3,35.5,0,1
6,0,0,0,51,0,1
6,0.03,0,0,48.5,0,0
6,0.02,0,0,36,1,1
6,0,0,0,60,0,1
6,1.51,0,0,54,0,1
6,0,0,0,56,0,1
6,0,0,0,78.5,0,1
6,0,0,0,57,0,1
6,0,0,0,36,0,0
6,0,0,0,65,0,1
6,0,0,0,59,0,0
6,0,0,0,60.5,0,1
6,0,0,0,59.5,0,1
6,0,0,0,88,0,1
6,0.04,0,0,65,0,1
6,1.28,0,0,72,0,1
6,0.19,0,0,68,0,0
6,0,0,0,65.5,0,1
6,0,0,0,52.5,0,1
6,0,16.1,0,43,0,0
6,0,0,0,46,0,1
6,0,0,0,87,0,1
6,0,0,0,74.5,0,1
6,0,0,0,47,0,0
6,0,0,0,79.5,0,1
6,0.01,0,0,74,0,0
6,0.12,0,0,53.5,0,0
6,0,0,0,74,0,0
6,0,0,0,76,1,1
6,0,0,0,45,0,1
6,1.54,0,0,63,0,1
6,0,16.9,0,25,1,1
6,0.04,3.9,1,23.5,0,0
6,0,3.1,0,32.5,0,1
6,0,0,0,34,0,1
6,0,0,0,31,0,1
6,0,0,0,51.5,0,0
6,0,0,0,58.5,0,1
6,0,9.1,0,26,0,1
6,0.17,0,0,41,0,1
6,0,0,0,52,0,1
6,0,0,0,80,0,1
6,0.08,0,0,77.5,0,1
6,0,0,0,74.5,0,1
6,0,0,0,78,0,0
6,0,0,0,65.5,0,1
6,0.16,18.1,1.5,32.5,0,1
6,0,0,0,49.5,0,1
6,0.03,0,0,45,0,1
6,0,0,0,41,0,1
6,0,11.8,0,23,0,1
7,0,0,0,45.5,0,0
7,0,0,0,68.5,0,0
7,0,0,0,82.5,0,1
7,0,0,0,35.5,0,0
7,0,0,0,79,0,0
7,0,0,0,69.5,0,1
7,0.33,0,0,55,0,0
7,0.48,2,5.5,26.5,0,1
7,0.08,0,0,63,0,1
7,0.05,0,1,20.5,0,1
7,0,2,0,36.5,0,0
7,0.15,0,0,64.5,0,1
7,0,0,0,52,0,0
7,0,0,0,77,0,1
7,0,0,0,77,0,1
7,0,0,0,48.5,0,0
7,0,0,0,80.5,0,1
7,0.13,0,0,81,0,0
7,0.33,0,3.1,25.5,0,1
7,0.24,0,0,63,0,1
7,0,0,0,64.5,0,1
7,0,0,0,82.5,0,1
7,0.46,0,0,78,0,1
7,0,0,0,61,0,0
7,0,7.1,0,13.5,0,1
7,0,0,0,62.5,0,1
7,0.15,0,0,71,0,0
7,0.05,0,0,50,0,1
7,0,0,0,33.5,0,1
7,0,0,0,50.5,0,0
7,0,0,0,30.5,0,1
7,0.41,0,0,68.5,0,0
7,0,0,0,35.5,0,1
7,0,1.2,0,43.5,0,1
7,0,0,0,74,0,1
7,0,0,0,28,0,1
7,0,0,0,74.5,0,1
7,0,0,0,72,0,0
7,0.03,0,0,40,0,0
7,0,0,0,56.5,0,1
7,0,0,0,73.5,0,1
7,0.71,0,0,48,0,1
7,0,0,0,40,0,1
7,0,0,0,53.5,0,0
7,0,0,0,80.5,0,1
7,0,0,0,76.5,0,0
7,0.2,0,0,58.5,0,1
7,0,0,0,50,0,0
7,0,0,0,77.5,0,0
7,0.71,0,0,37.5,0,0
7,0,0,0,49.5,0,0
7,1.43,9.1,4,31.5,0,1
7,0,0,0,44,0,1
7,0.02,0,0,45.5,0,1
7,0,0,0,79,0,1
7,1.78,0,0,78,0,1
7,0,0,0,73,0,1
7,0,0,0,71.5,0,0
7,0,0,0,42,0,0
7,0,0,0,55,0,1
7,0,0,0,72.5,0,1
7,0.04,0,0,71,0,0
7,0,0,0,78.5,0,1
7,0,0,0,39,1,1
7,0,0,0,66.5,0,1
7,0,0,0,14.5,0,1
7,0,0,0,60.5,0,1
7,0.29,5.9,3.3,13.5,0,1
7,0,0,0,53,0,1
7,0.33,0,0,47.5,0,1
7,0,0,0,73,0,0
7,0,0,0,51,0,0
7,0.02,0,0,53.5,0,1
7,0,0,0,58,0,1
7,0.72,0,0,54.5,0,1
7,0,0,0,50,0,1
8,0,1.2,0,16.5,0,1
8,0,1.2,0,32,0,1
8,0.37,0,0,52.5,0,1
8,0,1.2,0,47.5,0,0
8,0,9.8,0,19,0,1
8,0,0,0,29.5,0,1
8,0.51,0,0,39,0,1
8,1.24,0,0.2,42.5,0,1
8,0.02,0,0,54.5,0,0
8,0,0,0,61.5,0,0
8,0,0,0,69,0,1
8,0.5,0,0,47.5,0,0
8,0,0,0,77.5,0,1
8,0,0,0,83.5,0,1
8,0,2,0,40,0,0
8,0,0,0,59.5,0,1
8,0,0,0,59,0,1
8,0.09,0,0,53.5,0,1
8,0,0,0,72,0,0
8,0,0,0,60.5,0,0
8,0,0,0,61.5,0,1
8,0,9.8,0,47,0,0
8,0,0,0,70,0,1
8,0,0,0,69.5,0,0
8,0,0,0,75,0,1
8,0,9.1,0,12,1,1
8,0.14,0,0,69.5,1,1
8,1.6,0,0,68,0,1
8,1.4,0,0,61,0,1
8,0,0,0,64.5,0,0
8,0,0,0,43,0,1
8,0.02,0,0,63,0,1
8,0,0,0,49,0,0
8,0,0,0,67.5,0,0
8,0,0,0,80.5,0,1
8,0.06,0,0,71,0,1
8,0,9.1,0,17.5,0,1
8,0,0,0,79.5,0,1
8,0.01,1.2,0,34.5,0,1
8,0,5.9,0,24,0,1
8,0,0,0,55.5,0,1
8,0,0,0,71,0,1
8,0,0,0,75,0,1
8,0,0,0,61.5,0,1
8,0,0,0,80.5,0,1
8,0,0,0,30,0,1
8,0,9.1,0,10.5,0,1
8,0,3.9,0,32.5,0,1
8,0,0,0,50,0,0
8,0.37,0,0,52.5,0,1
8,0,7.9,0,33,0,0
8,0,0,0,54,0,1
8,0,0,0,43.5,0,1
8,0,0,0,75,0,0
8,0,0,0,54,0,1
8,0,0,0,33.5,0,0
8,0.12,0,0,64.5,0,1
8,0,0,0,45.5,0,0
8,0,0,0,48,0,1
8,0.09,13,0,42.5,0,1
8,0,0,0,76.5,0,0
8,1.26,0,0,69,0,1
8,0,0,0,46.5,0,1
8,0,9.1,0,26.5,0,1
8,0,0,0,74.5,1,1
8,0,0,0,60,0,1
9,0.01,0,0,51,0,0
9,0.11,0,0,61,0,1
9,0,0,0,75,0,0
9,0,9.1,0,14.5,0,0
9,0,0,0,75,0,1
9,0.09,7.9,0,27,0,1
9,0,0,0,51.5,0,0
9,0,0,0,74.5,0,1
9,0,0,0,39.5,0,1
9,0,0,0,75,0,1
9,0,0,0,66.5,0,1
9,0.01,13,0,47,0,1
9,0,0,0,82,0,0
9,0,0,0,76.5,0,0
9,0,0,0,85.5,0,0
9,0.01,7.9,0.1,33,0,1
9,0.32,0,0,60.5,0,1
9,0,11.8,0,28.5,0,1
9,0.04,5.1,0.1,24.5,0,1
9,0,0,0,81.5,1,1
9,1.08,0,0,52.5,0,1
9,0,0,0,74,0,1
9,0,7.9,0,28,0,1
9,0,0,0,35,0,1
9,0,0,0,37.5,0,0
9,1.78,11.8,9.5,30,0,1
9,0,0,0,71.5,0,1
9,0.04,0,0,39.5,0,1
9,0,0,0,63.5,0,0
9,0.01,0,0,61,0,1
9,0,0,0,74,1,1
9,0,0,0,77.5,0,0
9,0,7.1,0,19.5,0,0
9,0,0,0,33,1,1
9,1.54,0,0,46,0,1
9,0,0,0,41,0,1
9,0,0,0,45,0,1
9,0,0,0,32.5,0,1
9,1.25,0,0,60.5,0,1
9,0.34,0,0,55,0,1
9,0,0,0,56,0,1
9,0,0,0,78.5,0,0
9,0,0,0,42,0,1
9,0,18.1,0,25.5,0,0
9,0,0,0,72,0,1
9,0,0,0,55,0,1
9,0,0,0,59,0,1
9,0.35,0,0,44,0,0
9,0.19,0,0,75,0,1
9,0,0,0,71.5,0,1
9,0,0,0,52.5,0,0
9,0,0,0,77,0,1
9,0,0,0,77.5,0,1
9,0,0,0,82.5,0,1
9,0,0,0,69.5,0,0
9,0,9.1,0,48.5,0,0
9,0,0,0,77.5,0,1
9,0.3,0,0,73.5,0,1
9,0,0,0,40,0,1
9,0,7.9,0,28,0,1
9,0.17,0,0,47.5,0,1
9,0,0,0,47.5,0,1
9,0,0,0,35.5,0,1
9,0,0,0,78,0,1
9,0,11,0,24,0,1
9,0.07,0,1.5,26,0,1
9,0,0,0,72,0,1
9,0,0,0,29,0,1
9,0,0,0,29,0,1
9,0.07,0,0,35,0,0
9,0,0,0,67.5,0,1
9,0,0,0,70.5,0,1
9,0.3,0,0,66,0,0
9,0,0,0,30.5,0,1
9,0,0,0,62,0,0
9,1.58,0,0,74.5,0,1
9,0.36,0,0,78.5,0,1
9,0.07,0,0,56.5,0,1
9,0,0,0,25,0,1
9,0.05,0,0,58.5,0,1
9,0,0,0,71.5,0,1
9,0,0,0,73,0,1
9,0,0,0,77,0,1
9,0,0,0,39,0,1
9,0,0,0,67,0,1
9,0,9.1,0,25,0,0
9,0,0,0,59.5,0,0
10,0,0,0,71.5,0,0
10,0.01,0,0,66.5,0,1
10,0.09,0,0,60.5,0,1
10,0.02,0,0,82.5,0,1
10,0.07,0,0,66.5,0,1
10,0,0,0,75,0,0
10,0,0,0,78,0,0
10,0.1,7.9,1.2,26,0,0
10,0,0,0,30,0,1
10,0,0,0,52,0,1
10,0,0,0,68.5,0,1
10,0,0,0,63,0,1
10,0,0,0,72,0,0
10,0.01,0,0,72,0,0
10,0.12,0,0,81.5,0,1
10,0,0,0,58.5,0,1
10,0,0,0,60.5,0,1
10,0,0,0,38.5,0,1
10,0.15,0,0,52,0,1
10,0.01,0,0,60,0,1
10,0.08,0,0,39,0,1
10,0.46,11,0,46,0,1
10,0,11,0,21,0,0
10,0,0,0,52,0,1
10,0.87,0,0,68.5,0,1
10,0,0,0,24,0,1
10,0,0,0,38.5,0,0
10,0.09,0,0,60,0,1
10,0,0,0,63,0,1
10,0,0,0,44,0,1
10,0.08,0,0,77.5,0,1
10,0,0,0,36,0,1
10,0,0,0,48.5,0,0
10,0,0,0,45,0,1
10,0,11.8,0,14,0,1
10,1.17,0,0,76,0,1
10,0,0,0,45,0,1
10,0.04,0,0,59,0,1
10,0.67,14.2,1.8,29.5,0,1
10,0,0,0,52,0,1
10,0.37,0,0,70,0,0
10,0,0,0,78.5,0,0
10,0,18.9,0,19.5,0,1
10,0.43,0,0,79,0,1
10,0,0,0,56,0,0
10,0.08,0,0,62.5,0,0
10,0.04,0,0,67.5,0,1
10,0,0,0,35,0,1
10,0,0,0,74,0,1
10,0,0,0,61,0,0
10,0.39,0,0,75.5,0,1
10,0,0,0,47.5,0,1
10,0,0,0,74.5,0,1
10,0.52,0,0,48,0,1
10,0,0,0,68,0,1
10,0,0,0,63,0,1
10,0,0,0,53,0,0
10,0.89,0,0,69.5,0,1
10,2.54,0,0,39,0,1
10,0.01,0,0,63.5,0,1
10,1.11,0,0,66,0,1
10,0,0,0,58,0,0
10,0,0,0,69.5,0,1
10,1.12,0,0,64.5,0,0
10,0,0,0,81,1,1
10,0.02,0,0,59.5,0,0
10,0.33,0,0,60,0,1
10,0,0,0,66.5,0,1
10,0,0,0,65,0,1
10,0.11,0,0,79,0,0
10,0,0,0,38.5,0,1
10,0,1.2,0,16,0,1
10,0,0,0,73.5,0,1
10,0.06,0,0,67,0,1
10,0.16,0,0,44.5,0,1
10,0.26,16.9,0,39.5,0,1
10,0,0,0,73,0,0
10,0,0,0,71,0,1
10,0,0,0,50,0,0
10,0.35,0,0,74,0,1
10,0,0,0,69.5,0,1
10,0,7.9,0,14.5,0,1
10,0,0,0,70,0,1
10,0,5.1,0,36,0,0
10,0.2,0,0,43.5,0,1
10,0.03,0,0,47.5,0,1
10,0.26,0,0,63.5,0,0
